user_id,username,firstName,usersize,product_name,trending_rank,variantID,relevant_variant_size,wishlist_count,variant_open_offers,lastActive
02426ad6-5b18-49e2-8c2f-8d57f84a4078,Davariii3,Davaris,9.5,Nike SB x Air Jordan 4 Retro SP 'Navy',3rd,a3a63a6c-9e6b-4f3d-a1ef-560b02e07843,9.5,157,4,2025-06-24 20:07:58.685000+00:00
024cc024-d329-4012-81f4-cd8a9de10731,msumuelgmail.com,Michael,13,Union LA x Air Jordan 1 Retro High OG SP 'Chicago Shadow',4th,c5f6b9a6-f9b3-4697-9e5d-750121e28f5b,13,136,10,2025-06-03 15:51:13.202000+00:00
07062174-da1d-4bc3-b01b-35c7c38ef851,WamBamKicks,Thomas,8.5,Air Jordan 4 Retro OG 'White Cement' 2025,7th,3dae1a23-d136-430e-9a8f-a552714af30c,8.5,13,3,2025-06-16 15:44:57.916000+00:00
0735ea9f-1bbf-44e0-a2f7-02383d9e6462,andy_Mac16,Andy,11,Air Jordan 4 Retro OG 'White Cement' 2025,7th,7547106a-bb56-4fe1-9637-4ba3caeaa2c3,11,50,17,2025-06-04 20:09:33.449000+00:00
09335dd9-689e-449b-9fc9-7c0993126066,Lomeli85,Gabriel,11,Nike SB x Air Jordan 4 Retro SP 'Navy',3rd,7340ea63-c7d2-44d9-8bae-9b3e5f7d1f91,11,252,39,2025-06-27 19:43:20.086000+00:00
0a5c4bac-3dad-43a8-b4ef-e2cb1896a4e9,Keving1323,Kevin,12,Travis Scott x Air Jordan 1 Low OG SP 'Medium Olive',5th,c76883c7-9d6a-4357-968e-fd120d107965,12,301,25,2025-05-31 09:32:49.386000+00:00
0e8cf136-ee73-44f0-bbc1-5c823a199370,CWindezzy,Cody,10.5,Air Jordan 5 Retro OG 'Metallic Reimagined',10th,e92f5cab-6fa0-4068-801c-d1b737ab217b,10,119,8,2025-07-21 04:03:57.169000+00:00
121a5e08-f25b-449b-a2c2-ecc3aaaa23c3,alex214lacy,Alex,11,Air Jordan 5 Retro OG 'Metallic Reimagined',10th,2ed0b8fd-5193-4105-96a7-15cf919a7f16,11,177,46,2025-07-01 00:40:32.254000+00:00
12553c5e-f8f7-4816-b084-b16ef0f96b23,Dchatlani,Dhinesh,10,Nike SB x Air Jordan 4 Retro SP 'Navy',3rd,16b83bb3-65c7-40d0-916d-422a91787f32,10,222,20,2025-05-26 03:50:35.632000+00:00
126d4902-9067-4001-a143-3450e28ab33a,BabyKev411,"Kevin ",13,Nike SB x Air Jordan 4 Retro SP 'Navy',3rd,c5f8029e-9a4f-4ae4-86ec-8a37068ab8a9,13,173,32,2025-05-11 06:26:27.312000+00:00
12d0f566-d99e-45b9-a605-d104776a31db,ragutierre22837,Ricardo,11.5,Nike SB x Air Jordan 4 Retro SP 'Navy',3rd,7f879868-1664-476c-9aac-78b5da58146b,11.5,161,10,2025-06-11 22:06:49.659000+00:00
