user_id,username,firstName,usersize,product_name,trending_rank,variantID,relevant_variant_size,wishlist_count,variant_open_offers,lastActive
c26edb81-292b-447d-97d4-dd7f4b6618ea,markaveli84,Marco,9,Union LA x Air Jordan 1 Retro High OG SP 'Chicago Shadow',4th,ea5f2e93-0f02-40bf-8118-ef56591dee02,9,93,16,2025-08-07 09:24:14.251000+00:00
c4a45404-d8aa-489f-8d11-d6c0d98ed590,Markm,mark,12,Nike SB x Air Jordan 4 Retro SP 'Navy',3rd,036f073c-6516-4d1d-a5c8-a3b32027ea51,12,222,25,2025-08-02 01:46:24.745000+00:00
c5cc105f-cd1d-498a-9978-8ea2d3ef28da,sneakervette,patrick,10,Nike SB x Air Jordan 4 Retro SP 'Navy',3rd,eeb374d2-647e-414e-b5ed-8350e3c9aa9c,10.5,244,34,2025-05-30 16:39:51.906000+00:00
c69d96d2-3ec7-4640-9c4a-41ee6a30441b,z97wrghzcp44339,Marcus,10.5,Air Jordan 4 Retro OG 'White Cement' 2025,7th,7547106a-bb56-4fe1-9637-4ba3caeaa2c3,11,50,17,2025-08-02 21:13:21.302000+00:00
c70ee703-0041-46e3-94c2-c041948dd14d,ayushpatel70625,"Ayush ",8.5,Travis Scott x Air Jordan 1 Retro Low OG SP 'Velvet Brown',8th,accaa04e-a9ff-45d6-b133-c9182a716b7c,8,69,5,2025-07-07 17:22:31.827000+00:00
c74317bc-1991-4e0c-bb96-c1babf466084,biggezzy1,George,10.5,Travis Scott x Air Jordan 1 Low OG SP 'Medium Olive',5th,f8be44a9-ab0a-4b3c-8b67-31bf3c4ec6b1,10.5,425,25,2025-05-17 14:26:02.810000+00:00
cdc0567a-ea5e-4f56-b2cf-5f07213320c5,marsha.sanders46yah.com,marshall,11,Air Jordan 4 Retro OG 'White Cement' 2025,7th,7547106a-bb56-4fe1-9637-4ba3caeaa2c3,11,50,17,2025-06-04 02:27:04.555000+00:00
cf4c0d0c-d873-4c05-82ae-b757610fee39,HeatSeekersLLC,Quen,11,Nike SB x Air Jordan 4 Retro SP 'Navy',3rd,7340ea63-c7d2-44d9-8bae-9b3e5f7d1f91,11,252,39,2025-06-28 03:34:53.693000+00:00
d04af751-3c9d-45e2-afaa-fe713cd90653,Roderick,timothy,10.5,Undefeated x Air Jordan 4 Retro 2025,2nd,c40d02de-0a55-4456-95ec-abbd14d8ac57,10.5,42,19,2025-08-02 16:25:54.186000+00:00
d05bef9d-18ed-44b6-88ea-99eaf87c78f1,Dailorides,Andy,10.5,Air Jordan 5 Retro OG 'Metallic Reimagined',10th,83e632db-09f6-4ac1-b5d0-039a92a9b630,10.5,137,34,2025-05-27 17:03:40.617000+00:00
