size,min_price,max_price
3.5,593,657
4,309,343
4.5,356,394
5,361,401
5.5,377,417
6,381,423
6.5,361,399
7,370,410
7.5,350,388
8,342,378
8.5,342,378
9,342,378
9.5,345,383
10,346,384
10.5,337,373
11,327,363
11.5,350,388
12,342,378
12.5,369,409
13,342,378
14,354,392
15,388,430
16,542,600
17,461,511
18,518,574

