size,min_price,max_price
5,1852,2048
5.5,1710,1890
6.5,1045,1155
7,1371,1517
7.5,1066,1180
8,665,735
8.5,711,787
9,727,805
9.5,741,819
10,760,840
10.5,760,840
11,731,809
11.5,844,934
12,760,840
12.5,1423,1573
13,868,960
14,855,945
15,1235,1365

