size,min_price,max_price
3,379,419
3.5,379,419
4,379,419
4.5,379,419
5,379,419
5.5,379,419
6,376,416
7,325,361
7.5,342,380
8,285,315
8.5,350,388
9,318,352
9.5,356,394
10,312,346
10.5,294,326
11,313,347
11.5,344,382
12,326,362
12.5,350,388
13,213,237
14,424,470
15,463,513
16,464,514
17,474,524
18,474,524
