size,min_price,max_price
3.5,202,224
4,201,223
4.5,191,213
5,202,224
5.5,200,222
6,161,179
6.5,202,224
7,274,304
7.5,191,213
8,218,242
8.5,237,263
9,223,247
9.5,224,248
10,233,259
10.5,218,242
11,217,241
11.5,227,251
12,236,262
12.5,244,270
13,228,252
13.5,270,300
14,252,280
15,309,343
16,238,264
17,237,263
18,236,262
