size,min_price,max_price
3.5,160,178
4,151,167
4.5,180,200
5,218,242
5.5,226,250
6,222,246
6.5,194,216
7,146,162
7.5,154,172
8,152,168
8.5,152,168
9,144,160
9.5,150,166
10,150,166
10.5,146,162
11,158,176
11.5,166,184
12,162,180
12.5,187,207
13,168,186
14,170,188
15,180,200
16,209,231
17,233,259
18,419,465

