size,min_price,max_price
3.5,570,630
4,547,605
4.5,547,605
5,546,604
5.5,546,604
6,531,587
6.5,539,597
7,524,580
7.5,374,414
8,427,473
8.5,501,555
9,482,534
9.5,463,513
10,473,523
10.5,494,546
11,507,561
11.5,579,641
12,542,600
12.5,627,693
13,549,607
14,653,723
15,750,830

